Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,15,19,3,17,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,19,4,17,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,19,5,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,19,6,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,7,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,8,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,9,18,-99.989997,-99.989997,-99.989997,4,1,45,32.44
2020,7,15,19,10,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,11,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,19,12,17,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,13,17,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,19,14,17,-99.989997,-99.989997,-99.989997,4,1,45,16.91
2020,7,15,19,15,18,-99.989997,-99.989997,-99.989997,4,1,45,14.75
2020,7,15,19,16,18,-99.989997,-99.989997,-99.989997,4,1,45,21.44
2020,7,15,19,17,18,-99.989997,-99.989997,-99.989997,4,1,45,21.44
2020,7,15,19,18,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,19,19,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,19,20,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,19,21,17,-99.989997,-99.989997,-99.989997,4,1,45,21.23
2020,7,15,19,22,17,-99.989997,-99.989997,-99.989997,4,1,45,14.55
2020,7,15,19,23,17,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,19,24,17,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,19,25,17,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,19,26,17,-99.989997,-99.989997,-99.989997,4,1,45,16.91
2020,7,15,19,27,17,-99.989997,-99.989997,-99.989997,4,1,45,16.91
